POIfromOpentarget
FOXL2
ATM
LARS2
STAR
CLPP
GALT
TWNK
HSD17B4
NOBOX
XRCC4
NR5A1
BMP15
CYP19A1
HARS2
FMR1
STAG3
MCM8
ERCC6
MSH4
HFM1
C11orf65
MSH5
FIGLA
ERAL1
ESR1
GHR
WNT4
SPIDR
FSHR
XRCC2
ESR2
CHAMP1
HSF2BP
POF1B
SYCE1
SLC10A2
ZSWIM7
LHCGR
C14orf39
RMND1
GGPS1
RAD54L
LRRC41
MCM9
BRAF
DIAPH2
SOHLH1
SGO2
MRPS22
NSMCE2
MRPL49
BRDT
NOS3
ALMS1
PTCH1
DAP3
PMM2
CHEK2
JAK2
CYP21A2
NAT8
NR3C1
NPAT
KHDRBS1
PRORP
AR
RYR3
FANCA
AFP
WT1
MLH3
PGR
PRLR
SH2B1
NR5A2
RAD51C
BNC1
CYP17A1
NOTCH2
BRWD1
POLG
ADAMTS1
RICTOR
SIRT6
KDR
POR
AFF2
IGF2R
NTRK1
FBN1
DPPA2
SCART1
CYP2E1
AGO2
THBS1
ATG9B
BMP6
ZNF462
DMRT3
ADAMTS6
MECOM
EIF4ENIF1
PSMC3IP
BUB1B
GDF9
SOHLH2
NANOS3
POLR3H
POU5F1
ASH2L
NOG
POLR2C
IGSF10
LEPR
MYC
PADI6
REC8
FANCC
BMAL1
WHAMM
TG
PRIM1
BBS9
CD99
FMN2
ZFR2
ATG7
C3
RPH3AL
TTLL1
PATJ
ARFGAP3
PNPLA7
FYN
ACKR3
XG
CSMD3
GYG2
GLI1
MED12L
SNX8
CGNL1
KHDC1L
ASTN2
XPNPEP2
AGBL4
BRD3
SPATA4
ATG2A
ZNF483
PTGR1
FAM222B
DOC2B
KCNQ5
MIR2053
WDR17
ADAMTS5
PARD3
PACSIN2
TRIM32
BEND5
MOV10
PRKD1
FSHB
MRC1
PSEN1
IZUMO1R
FAAP100
GNRH1
MARF1
PCYT1B
EGR1
PTX3
FANCL
TAF4B
KPNA6
IL2RG
CPEB3
GH1
PTGER2
KIT
KIF18A
VRK1
LHX9
ZGLP1
AQP4
ABHD2
AKR1C3
AMH
GNRHR
CD9
DDX20
INHA
CABLES1
CAV1
PABPC1L
FZD1
HOXA11
YTHDC2
CKS2
TMCO1
CENPB
EZHIP
TIPARP
DNMT3L
IL11RA
PABPN1L
PRKAA1
SKP2
TNF
NRIP1
SRY
NR2F2
CHST8
XIST
ZP3
CEP70
PIK3CB
GPR149
IL11
HSD17B1
SCARB1
MSH5-SAPCD1
TCF3
CYP7B1
POMZP3
GADD45G
CFAP206
STING1
TRPC5
CCDC169-SOHLH2
DAZ1
PRL
KISS1R
PLCB1
TBPL2
NLRP14
C12orf56
EDA
YWHAE
ZFP36L2
DIP2C
PLK4
NSMF
GPR3
TGFBR3L
C16orf92
MIR9-3
RFX8
CCDC180
JADE1
SMC1B
LHX8
PHB2
GJA4
TIMP1
MIR505
DAZL
SRC
DLGAP5
MKRN3
USP26
PTDSS2
CHST10
AHR
ANKRD31
PRDM9
KISS1
SPATA22
SIX5
CCND2
NR2C2
CGB5
DAZ4
DAZ2
DAZ3
ACSL4
GREM2
SOX2
FANCF
PRDM7
SGPL1
PROP1
IRS2
RSPO1
DMC1
EIF4E1B
CXCL10
HELQ
HPGD
FETUB
TAC3
GAS2
RSPO2
FST
YBX2
LEP
NPFFR1
F9
UTP14A
UTP14C
SPO11
MAD2L2
CGB7
LHB
CGB2
CGB3
CGB8
CGB1
FKBP4
DPPA3
CGA
ZAR1
VSX2
FUT2
EEF2K
AP3B1
DHH
SYCE2
SIX6
ADRA1B
VANGL2
FOXO3
CFTR
DRD2
SOST
CDKN2D
DND1
MLH1
IL3
MARK2
TERB2
TRIP13
INSM1
RFWD3
NOS1
HMMR
ZP2
HNF1A
VEGFA
GJA1
SST
ASTL
YTHDF2
TGM2
GGH
AQP8
MOS
PRDM14
AMBP
BMPR1B
SYCP1
SYCE3
CBFA2T2
POC1A
CLCN7
FOXE1
SFRP4
UBE3A
CEP250
PGRMC1
SCAPER
OTC
TYROBP
MEIOB
CDK2
AKT2
DICER1
PTH2
RANBP9
TACR3
SUN1
HERC2
CHDH
KPNA2
TMC7
CELSR1
DCTD
RELN
KITLG
SWSAP1
TEX12
EBF2
INSL3
THUMPD3-AS1
PTGFR
LSM14B
MEI1
ATR
PDE3A
CDC23
CNTD1
OAS1
OOEP
CDK4
COL1A2
COMMD3-BMI1
BMI1
WNT7A
RAD21L1
FOXO3B
FANCG
ZP1
ANTXR2
ADCYAP1
CDH5
DNMT1
MEIOC
CPEB1
VDR
NHLH2
C1orf146
REC114
CDKN1B
GCLM
LRP5L
LRP5
CYP11A1
PIN1
KASH5
MORC2
DCN
PAPOLB
LHX3
PATZ1
MCMDC2
NUP107
IKBKG
ZCWPW1
EPHA1
HSD17B3
LATS1
SRD5A1
KDM1B
TTPA
NUP62CL
UBE2A
CPA6
DNAJA2
PKD1L2
ACTL6B
NPHP1
CLCN5
LIF
CSNK1G2
DEFB119
MITF
ADCYAP1R1
STRADA
NUMBL
SLC30A1
DAZAP1
ADGRD1
PRND
LIN28A
ACVR2A
ADAD2
PTGS1
TRHR
EDN2
BCL2L2
BCL2L2-PABPN1
KDM3B
TMPRSS2
SOX3
ELAVL2
XPO4
SYCP2L
MEN1
CTSK
UMOD
PRM2
HSF2
GUF1
BRME1
LGALS3
ASPM
TIAL1
AMHR2
MAGEL2
MIDN
TSC22D3
NPEPPS
APC
NR0B1
NR0B2
VGF
HCST
SPATA16
GGTLC2
GGTLC3
GGTLC1
GGT1
GGT3P
GGT2P
ZC3HC1
CNOT7
ZNF296
SPDYA
TERB1
CDC25B
GABRB1
FANCI
PROKR2
TNFAIP6
FOXN1
TSHB
COL1A1
TOP6BL
INSL5
KPNA1
VIP
CCNB3
CYP27B1
FBXO43
FBXO24
UBE2S
MIR205
DDR2
RFX2
NOTUM
LIPC
MST1R
TSSK3
CACNA2D2
HESX1
KDM5B
TET1
WNT6
HOXD13
CBX3
IAPP
SYTL4
ADRM1
PER1
TNFRSF11A
ACOX1
OLFM1
SLITRK2
INHBA
CORT
SOSTDC1
NPR1
SPTA1
KATNAL2
FAU
TBPL1
SIGLEC15
SH3BP2
AKAP9
HORMAD1
DNMT3B
CH25H
LHFPL2
CADM1
IDUA
NLRP2
CRTC1
SLC16A2
ANO5
IL6ST
BDNF
TGFB2
CEBPB
NLRP5
NLRP7
UBB
UBE2Q1
RNF114
PRR19
PLEKHA1
PAPPA
GOLGA3
EXO1
AGPAT1
GGNBP2
LRP6
DPY19L2
TEX38
PFN3
TMEM64
ANTXR1
RBPMS2
FAR1
APOE
TDRD12
TSHR
HOXA10
SP4
SOX30
PRM1
CFAP43
OSTF1
IQCG
SIAH1
LRP2
