OvarianDysfunctionfromOpentarget
FOXL2
ATM
LARS2
STAR
CLPP
GALT
TWNK
HSD17B4
NOBOX
XRCC4
NR5A1
BMP15
CYP19A1
HARS2
FMR1
STAG3
MCM8
ERCC6
MSH4
HFM1
C11orf65
MSH5
FIGLA
ERAL1
FSHR
ESR1
GHR
WNT4
SPIDR
XRCC2
ESR2
CHAMP1
HSF2BP
POF1B
SYCE1
SLC10A2
ZSWIM7
LHCGR
CHEK2
C14orf39
RMND1
GGPS1
RAD54L
LRRC41
MCM9
BRAF
DIAPH2
SOHLH1
SGO2
TTC28
MRPS22
MRPL49
NSMCE2
BRDT
NOS3
ALMS1
PTCH1
TFEC
CYP21A2
DAP3
PMM2
JAK2
ERBB4
NAT8
NR3C1
NPAT
KHDRBS1
PRORP
AR
RYR3
PGR
FANCA
AFP
WT1
MLH3
PRLR
SH2B1
CYP17A1
NR5A2
RAD51C
BNC1
NOTCH2
BRWD1
POLG
ADAMTS1
RICTOR
SIRT6
KDR
POR
AFF2
IGF2R
THBS1
NTRK1
ATG9B
DPPA2
BMP6
AGO2
DMRT3
ZNF462
SCART1
CYP2E1
MECOM
ADAMTS6
FBN1
EIF4ENIF1
DENND1A
PSMC3IP
PITPNB
BUB1B
GDF9
SOHLH2
NANOS3
POLR3H
AOPEP
CDK19
POU5F1
ASH2L
NOG
POLR2C
IGSF10
LEPR
MYC
PADI6
REC8
FANCC
BMAL1
WHAMM
TG
PRIM1
ATG7
BBS9
CD99
FMN2
C3
ZFR2
XPNPEP2
KHDC1L
DOC2B
CSMD3
GLI1
SPATA4
KCNQ5
FAM222B
ACKR3
WDR17
AGBL4
PRKD1
PARD3
PACSIN2
ATG2A
TTLL1
ASTN2
BRD3
FYN
MIR2053
ADAMTS5
GYG2
ARFGAP3
MED12L
CGNL1
PATJ
TRIM32
SNX8
PTGR1
BEND5
MOV10
XG
RPH3AL
PNPLA7
ZNF483
GNRHR
FSHB
MRC1
PSEN1
IZUMO1R
GNRH1
PTX3
FAAP100
MARF1
EGR1
PCYT1B
FANCL
TAF4B
ZGLP1
LHX9
KPNA6
IL2RG
CPEB3
AQP4
GH1
KIT
PTGER2
KIF18A
VRK1
AKR1C3
ABHD2
AMH
TNF
CD9
DDX20
INHA
CABLES1
CAV1
PABPC1L
FZD1
YTHDC2
HOXA11
CKS2
TMCO1
NRIP1
CENPB
EZHIP
TIPARP
DNMT3L
PRKAA1
IL11RA
PABPN1L
ZP3
SKP2
HSD17B1
SRY
NR2F2
CHST8
XIST
CEP70
PIK3CB
GPR149
IL11
SCARB1
CYP7B1
KISS1
MSH5-SAPCD1
TCF3
POMZP3
GADD45G
CGB5
CFAP206
STING1
PRL
TRPC5
CCDC169-SOHLH2
DAZ1
AHR
KISS1R
PLCB1
TBPL2
C12orf56
EDA
DIP2C
YWHAE
NLRP14
ZFP36L2
PLK4
NSMF
GPR3
TGFBR3L
RFX8
CCDC180
C16orf92
JADE1
MIR9-3
SMC1B
SRC
LHX8
PHB2
GJA4
TIMP1
MIR505
DAZL
DLGAP5
MKRN3
USP26
PTDSS2
CHST10
ANKRD31
PRDM9
CGA
SPATA22
SIX5
CCND2
NR2C2
DAZ4
DAZ2
DAZ3
ACSL4
FST
GREM2
SOX2
TAC3
FANCF
PRDM7
SGPL1
PROP1
IRS2
CFTR
RSPO1
DMC1
EIF4E1B
CXCL10
HELQ
HPGD
FETUB
GAS2
LEP
CGB3
RSPO2
SPO11
YBX2
NPFFR1
F9
UTP14C
UTP14A
MAD2L2
CGB8
LHB
CGB2
CGB1
CGB7
FKBP4
VSX2
DPPA3
AP3B1
ZAR1
FUT2
EEF2K
DHH
SYCE2
SIX6
ADRA1B
VANGL2
FOXO3
SOST
DRD2
CDKN2D
DND1
MLH1
IL3
MARK2
TERB2
TRIP13
INSM1
RFWD3
NOS1
AQP8
HMMR
VEGFA
ZP2
HNF1A
GJA1
SST
ASTL
YTHDF2
TGM2
GGH
MOS
PRDM14
SFRP4
BMPR1B
AMBP
SYCP1
SYCE3
CBFA2T2
POC1A
INSL3
CLCN7
FOXE1
UBE3A
PGRMC1
CEP250
SCAPER
AKT2
OTC
TYROBP
TACR3
MEIOB
CDK2
KITLG
DICER1
PTH2
RANBP9
SUN1
HERC2
TMC7
CHDH
RELN
DCTD
KPNA2
CELSR1
SWSAP1
OOEP
TEX12
EBF2
THUMPD3-AS1
PTGFR
LSM14B
MEI1
WNT7A
CPEB1
ATR
PDE3A
CDC23
CNTD1
OAS1
KASH5
CDK4
VDR
COL1A2
COMMD3-BMI1
BMI1
RAD21L1
FOXO3B
FANCG
ZP1
ANTXR2
ADCYAP1
CDH5
DNMT1
CDKN1B
MORC2
MEIOC
NHLH2
C1orf146
REC114
LIN28A
GCLM
LRP5L
LRP5
CYP11A1
PIN1
DCN
ZCWPW1
PAPOLB
LHX3
NUP107
LIF
PATZ1
MCMDC2
IKBKG
EPHA1
HSD17B3
LATS1
SRD5A1
DNAJA2
CPA6
KDM1B
UBE2A
TTPA
ACTL6B
PKD1L2
NUP62CL
NPHP1
CLCN5
CSNK1G2
DEFB119
MITF
NUMBL
STRADA
SLC30A1
ADCYAP1R1
DAZAP1
ADGRD1
PRND
ACVR2A
ADAD2
PTGS1
TMPRSS2
TRHR
EDN2
BCL2L2-PABPN1
BCL2L2
NPEPPS
KDM3B
SOX3
LGALS3
ELAVL2
XPO4
NR0B1
SYCP2L
MEN1
CTSK
UMOD
PRM2
HSF2
GUF1
BRME1
APC
ASPM
TIAL1
AMHR2
MAGEL2
MIDN
TSC22D3
NR0B2
VGF
HCST
PROKR2
SPATA16
GGT3P
GGTLC2
GGTLC1
GGT2P
GGTLC3
GGT1
ZC3HC1
CNOT7
ZNF296
SPDYA
TERB1
COL1A1
CDC25B
GABRB1
FANCI
TNFAIP6
FOXN1
TNFRSF11A
TSHB
TET1
TOP6BL
LIPC
HSP90AA1
INSL5
KPNA1
VIP
CCNB3
CYP27B1
FBXO43
FBXO24
UBE2S
MIR205
DDR2
IL6ST
RFX2
NOTUM
CORT
MST1R
TSSK3
CACNA2D2
HESX1
TGFB2
KDM5B
PER1
WNT6
HOXD13
CBX3
IAPP
SYTL4
INHBA
ADRM1
ACOX1
OLFM1
SLITRK2
SOSTDC1
NPR1
SPTA1
KATNAL2
FAU
TBPL1
SIGLEC15
SH3BP2
AKAP9
HORMAD1
DNMT3B
NLRP5
CH25H
LHFPL2
CADM1
IDUA
NLRP2
CRTC1
SLC16A2
ANO5
CEBPB
BDNF
UBB
NLRP7
EXO1
UBE2Q1
RNF114
PRR19
PLEKHA1
PAPPA
GOLGA3
AGPAT1
GGNBP2
SCUBE1
LRP6
DPY19L2
TEX38
HOXA10
APOE
PFN3
TMEM64
ANTXR1
