PCOSfromOpentarget
ESR1
ERBB4
CHEK2
DENND1A
ZBTB16
NEIL2
PROX1
TTC28
THADA
LHCGR
NDUFA13
CYP19A1
NDUFB8
MT-ND5
MT-ND4
NDUFB9
MT-ND4L
MT-ND2
MT-ND1
NDUFA9
NDUFA2
NDUFAB1
NDUFA1
MT-ND6
NDUFA7
NDUFV3
NDUFA12
NDUFS7
NDUFA4L2
NDUFA11
NDUFAF4
NDUFC2
NDUFB10
NDUFB5
GPD2
NDUFS2
NDUFS4
NDUFA3
MT-ND3
NDUFS5
NDUFAF1
NDUFB11
NDUFA8
NDUFB6
NDUFA10
NDUFB2
NDUFV1
NDUFV2
NDUFS1
NDUFC1
NDUFA4
NDUFB4
NDUFA6
NDUFB3
NDUFB1
NDUFA5
NDUFS3
NDUFB7
NDUFAF2
NDUFAF3
NDUFS6
NDUFS8
SUOX
ARL14EP
FSHB
FSHR
PGR
DCC
FTO
GNRHR
VDR
YAP1
GRID2
SLC5A2
NR3C2
IRF1
AOPEP
GNPDA2
IQCA1
F5
SEC22A
FIGN
GLP1R
ADCY5
EXD3
CUX2
DPP4
HMGCR
HMGA2
INHBB
ESR2
TOX3
PPARG
BMPR1B
C22orf42
UNC5C
F2
GATA4
GIPR
KAZN
INSR
MC4R
FANCC
FBP1
MAPRE1
RAB5B
LCT
TMEM135
CDH10
TNFSF13
BCAS1
PDLIM5
KRR1
TP53
ERBB3
AR
R3HDM1
BLK
KISS1
AMH
TNF
LEP
GNRH1
PTX3
ADIPOQ
PLOD1
INS
PRL
LEPR
FNDC5
SHBG
GDF9
BMP15
RARRES2
CRP
IL6
ZNF217
DARS1
NAMPT
VEGFA
RETN
ANGPTL8
ZGLP1
FST
NR3C1
IL18
GH1
ZFP36L2
CCL2
IGFBP1
PTEN
IGF1
GGH
TGM2
TGFB1
ICAM1
SERPINE1
IRS2
MTHFR
HMGB1
CTBP1
GCG
IL22
NGF
LCN2
NUCB2
CGB5
IRS1
MALAT1
KLK3
CYP11A1
EHMT1
RBP4
AKT1
NEAT1
CYP17A1
IL10
C3
PIK3CD
PIK3CA
PIK3CG
PIK3CB
MMP9
NFKB1
MSTN
ATOH1
GHRL
PON1
BRD2
LGALS3
ADAMTS1
FETUB
